FECHA,Todos los instrumentos....2,Oro monetario y DEG.,Oro monetario.,Derechos Especiales de Giro.,Efectivo y depósitos.,Efectivo.,Depósitos transferibles.,Otros depósitos.,Valores representativos de deuda.,Valores a corto plazo.,Valores a largo plazo.,Préstamos.,Préstamos. A corto plazo.,Préstamos. A largo plazo.,Participaciones en el capital y en FI.,Acciones cotizadas.,Acciones  no cotizadas.,Otras participaciones.,Participaciones en FI y acciones de soc. de inversión.,"Sistemas de seguros, pensiones y garantías estandarizadas.",Reservas técnicas de seguro no vida.,Derechos de seguros de vida y rentas periódicas.,Derechos de pensiones.,Otros activos/pasivos.,Derivados financieros.,Créditos comerciales y anticipos.,Otras ctas. pte. de cobro/pago salvo créd. comerc.,Todos los instrumentos....29,Todos los instrumentos....30,Todos los instrumentos,Oro monetario y DEG,Derechos Especiales de Giro,Efectivo y depósitos,Efectivo,Depósitos transferibles,Otros depósitos,Valores representativos de deuda,Valores a corto plazo,Valores a largo plazo,Préstamos,Préstamos. A corto plazo,Préstamos. A largo plazo,Participaciones en el capital y en FI,Acciones cotizadas,Acciones  no cotizadas,Otras participaciones,Participaciones en FI y acciones de soc. de inversión,"Sistemas de seguros, pensiones y garantías estandarizadas",Reservas técnicas de seguro no vida,Derechos de seguros de vida y rentas periódicas,Derechos de pensiones,Otros activos/pasivos,Derivados financieros,Créditos comerciales y anticipos,Otras ctas. pte. de cobro/pago salvo créd. comerc
1994,1938768453,2736009,2534314,201695,681192893,46231251,86958853,548002790,228421509,78332237,150089272,390118320,84305701,305812619,320247124,72762031,119617269,60464442,67403382,64876366,16564517,24969819,23342029,251176233,0,203057841,48118392,1938768453,-79114557,2017883010,345377,345377,662855230,46019914,90922399,525912917,233718679,79550958,154167721,415834134,78836294,336997839,390301835,100376973,151987150,70324036,67613676,63379229,15067381,24969819,23342029,251448526,0,202515099,48933427
1995,2136725970,2836928,2536719,300209,751687700,48720048,88688146,614279506,234873235,74896233,159977002,412989474,89151069,323838406,395109184,78156540,177523599,66279688,73149357,74772931,18267645,30307486,26197799,264456519,0,207162237,57294282,2136725970,-91502858,2228228828,324104,324104,714833539,48485515,92799101,573548922,267748342,76981603,190766739,433663083,81999103,351663980,473855395,113940116,210071474,76483728,73360077,73326709,16821424,30307486,26197799,264477656,0,206127599,58350057
1996,2394192593,2892040,2536729,355312,769630574,51443485,100737583,617449505,299351870,83888121,215463749,442954824,94214387,348740436,506128198,106019968,199209265,89420196,111478769,87751734,19863420,36645186,31243127,285483354,0,223002425,62480929,2394192593,-112782125,2506974718,338260,338260,749233394,51195683,105115870,592921841,319759439,86461818,233297621,462928737,88371411,374557325,602212599,156392323,233685610,99606856,112527809,86353798,18465485,36645186,31243127,286148491,0,222887231,63261260
1997,2701505072,2919972,2487493,432479,792282424,54275195,110369639,627637590,345890229,46876099,299014131,479840502,104409153,375431349,681737470,155970649,256737524,108719057,160310240,102528173,21310965,44622322,36594886,296306302,0,237470425,58835877,2701505072,-129090018,2830595090,367901,367901,794386204,54040305,114417744,625928155,350191803,48211191,301980612,496492330,97037966,399454364,791058967,221522261,288346861,118603793,162586052,101141228,19924020,44622322,36594886,296956659,0,237286312,59670348
1998,3143381045,5305313,4813792,491520,800890851,55289070,134183314,611418467,394229110,30705121,363523989,545192231,119991787,425200444,924644222,211272603,373478027,138832027,201061565,118342052,23854283,51149708,43338061,354777268,0,287824807,66952461,3143381045,-182823884,3326204929,359898,359898,839384697,55025745,138435378,645923574,384008898,28974172,355034727,566849897,113120374,453729523,1063275685,306941144,402021989,150136801,204175750,116818771,22331003,51149708,43338061,355507083,0,287134523,68372560
1999,3583099000,5131655,4872615,259040,868177956,61703180,152434459,654040317,408917326,47046582,361870745,656936759,126675857,530260903,1102330044,303654255,433311782,160069595,205294412,140499003,28735153,62383322,49380528,401106256,0,322066393,79039863,3583099000,-201786213,3784885212,407861,407861,917536269,61344536,156996817,699194916,414056203,43778190,370278013,689210152,123828417,565381735,1223648611,407781495,438183974,170512283,207170859,138722363,26958513,62383322,49380528,401303753,0,320719548,80584205
2000,3937533455,5242868,4931161,311707,924165389,60143057,170508637,693513696,402452271,32776903,369675368,795424778,144052446,651372332,1197907967,366825466,442380109,202114484,186587909,164726536,32497590,65428655,66800292,447613646,0,354874571,92739074,3937533455,-224387820,4161921275,418353,418353,1003016701,59793006,176816447,766407249,424873349,27104532,397768817,840662245,140342134,700320111,1281430901,432185429,448773827,213317177,187154468,163218570,30989623,65428655,66800292,448301156,0,351814078,96487078
2001,4268710211,5698604,5300897,397707,965973559,49295930,172201266,744476363,460447336,40703626,419743710,902512498,146874109,755638388,1259703809,349356893,481356212,245523151,183467553,183649251,38089391,70558687,75001173,490725153,0,391827266,98897888,4268710211,-265608456,4534318667,425651,425651,1084458266,48749291,178602496,857106479,454764585,32084712,422679873,965381474,142190472,823191002,1358577119,421426857,494145779,259727697,183276786,181426467,35866607,70558687,75001173,489285106,0,387276764,102008341
2002,4428905896,5836973,5499852,337121,1044106420,60222810,190650045,793233565,506509984,39725363,466784621,997782376,157373714,840408661,1156830213,268496166,438620794,275715909,173997343,201950040,43608727,67723009,90618304,515889890,0,405437658,110452232,4428905896,-320453341,4749359237,387341,387341,1163027656,38352012,197078822,927596822,503095822,37767284,465328538,1083915873,151628539,932287334,1287745332,330852549,477771964,301732997,177387822,199407429,41066116,67723009,90618304,511779784,0,399085978,112693806
2003,5087849041,5886492,5558965,327527,1124645409,72021818,207803626,844819965,592349908,58328467,534021441,1129475876,160591944,968883932,1448873479,330690306,560890125,344563094,212729954,220750583,48249645,70429729,102071209,565867295,6736880,441663994,117466421,5087849041,-391880275,5479729316,351992,351992,1285754580,46375931,215504067,1023874583,572489249,45880485,526608765,1239708339,156466014,1083242325,1603501177,414001074,595541600,379804160,214154344,217874197,45373260,70429729,102071209,560049779,5775633,436402094,117872052
