Sexo;Edad;Estado civil;Periodo;Total
Ambos sexos;16 a 19;Total;2021/3;184.5
Ambos sexos;16 a 19;Total;2021/2;117.3
Ambos sexos;16 a 19;Total;2021/1;80.7
Ambos sexos;16 a 19;Total;2020/4;86.9
Ambos sexos;16 a 19;Total;2020/3;118.3
Ambos sexos;16 a 19;Total;2020/2;90.4
Ambos sexos;16 a 19;Total;2020/1;129.9
Ambos sexos;16 a 19;Total;2019/4;146.5
Ambos sexos;16 a 19;Total;2019/3;178.6
Ambos sexos;16 a 19;Total;2019/2;149.7
Ambos sexos;16 a 19;Total;2019/1;127
Ambos sexos;16 a 19;Total;2018/4;136.1
Ambos sexos;16 a 19;Total;2018/3;165.5
Ambos sexos;16 a 19;Total;2018/2;130.8
Ambos sexos;16 a 19;Total;2018/1;103.7
Ambos sexos;16 a 19;Total;2017/4;118.5
Ambos sexos;16 a 19;Total;2017/3;147.8
Ambos sexos;16 a 19;Total;2017/2;111
Ambos sexos;16 a 19;Total;2017/1;94.5
Ambos sexos;16 a 19;Total;2016/4;96.9
Ambos sexos;16 a 19;Total;2016/3;121.2
Ambos sexos;16 a 19;Total;2016/2;84.8
Ambos sexos;16 a 19;Total;2016/1;80.4
Ambos sexos;16 a 19;Total;2015/4;79.6
Ambos sexos;16 a 19;Total;2015/3;105.8
Ambos sexos;16 a 19;Total;2015/2;78.3
Ambos sexos;16 a 19;Total;2015/1;71.6
Ambos sexos;16 a 19;Total;2014/4;81.8
Ambos sexos;16 a 19;Total;2014/3;91.6
Ambos sexos;16 a 19;Total;2014/2;72
Ambos sexos;16 a 19;Total;2014/1;72.1
Ambos sexos;16 a 19;Total;2013/4;65.1
Ambos sexos;16 a 19;Total;2013/3;89.9
Ambos sexos;16 a 19;Total;2013/2;75.8
Ambos sexos;16 a 19;Total;2013/1;66.6
Ambos sexos;16 a 19;Total;2012/4;68.7
Ambos sexos;16 a 19;Total;2012/3;94.8
Ambos sexos;16 a 19;Total;2012/2;86.7
Ambos sexos;16 a 19;Total;2012/1;85.8
Ambos sexos;16 a 19;Total;2011/4;92.8
Ambos sexos;16 a 19;Total;2011/3;156.2
Ambos sexos;16 a 19;Total;2011/2;132.3
Ambos sexos;16 a 19;Total;2011/1;115
Ambos sexos;16 a 19;Total;2010/4;125.1
Ambos sexos;16 a 19;Total;2010/3;164
Ambos sexos;16 a 19;Total;2010/2;157.8
Ambos sexos;16 a 19;Total;2010/1;158.9
Ambos sexos;16 a 19;Total;2009/4;163.3
Ambos sexos;16 a 19;Total;2009/3;228.4
Ambos sexos;16 a 19;Total;2009/2;207.8
Ambos sexos;16 a 19;Total;2009/1;218
Ambos sexos;16 a 19;Total;2008/4;269.5
Ambos sexos;16 a 19;Total;2008/3;371.3
Ambos sexos;16 a 19;Total;2008/2;323.6
Ambos sexos;16 a 19;Total;2008/1;352.3
Ambos sexos;16 a 19;Total;2007/4;363.8
Ambos sexos;16 a 19;Total;2007/3;452.1
Ambos sexos;16 a 19;Total;2007/2;402.2
Ambos sexos;16 a 19;Total;2007/1;371.5
Ambos sexos;16 a 19;Total;2006/4;364.2
Ambos sexos;16 a 19;Total;2006/3;452.7
Ambos sexos;16 a 19;Total;2006/2;375.4
Ambos sexos;16 a 19;Total;2006/1;353.9
Ambos sexos;16 a 19;Total;2005/4;375.2
Ambos sexos;16 a 19;Total;2005/3;434.9
Ambos sexos;16 a 19;Total;2005/2;381.5
Ambos sexos;16 a 19;Total;2005/1;349.2
Ambos sexos;16 a 19;Total;2004/4;340.2
Ambos sexos;16 a 19;Total;2004/3;374
Ambos sexos;16 a 19;Total;2004/2;318.3
Ambos sexos;16 a 19;Total;2004/1;312.3
Ambos sexos;16 a 19;Total;2003/4;328.7
Ambos sexos;16 a 19;Total;2003/3;360.9
Ambos sexos;16 a 19;Total;2003/2;326.8
Ambos sexos;16 a 19;Total;2003/1;313.5
