periodo,tramo,pensionistas
2005,Hasta 150 euros,90217.92
2005,"De 150,01 a 250,00",98831.33
2005,"De 250,01 a 300,00",138561.08
2005,"De 300,01 a 350,00",357425.08
2005,"De 350,01 a 400,00",88793.17
2005,"De 400,01 a 450,00",1055946
2005,"De 450,01 a 500,00",412515.17
2005,"De 500,01 a 550,00",
2005,"De 500,01 a 540,89",
2005,"De 540,90 a 600,00",
2005,"De 500,01 a 512,99",74007.17
2005,"De 513,00 a 600,00",570011.75
2005,"De 550,01 a 600,00",
2005,"De 550,01 a 570,59",
2005,"De 570,60 a 600,00",
2005,"De 600,01 a 700,00",236545.5
2005,"De 600,01 a 645,29",
2005,"De 600,01 a 641,39",
2005,"De 600,01 a 633,29",
2005,"De 600,01 a 623,99",
2005,"De 600,01 a 648,59",
2005,"De 600,01 a 655,19",
2005,"De 600,01 a 650,00",
2005,"De 645,30 a 700,00",
2005,"De 641,40 a 700,00",
2005,"De 633,30 a 700,00",
2005,"De 624,00 a 700,00",
2005,"De 648,60 a 700,00",
2005,"De 655,20 a 700,00",
2005,"De 650,01 a 707,69",
2005,"De 650,01 a 735,89",
2005,"De 650,01 a 700,00",
2005,"De 700,01 a 750,00",
2005,"De 700,01 a 800,00",222706
2005,"De 707,70 a 800,00",
2005,"De 735,90 a 800,00",
2005,"De 750,01 a 800,00",
2005,"De 800,01 a 850,00",
2005,"De 800,01 a 900,00",215780.33
2005,"De 850,01 a 899,99",
2005,"De 850,01 a 900,00",
2005,"De 900,00 a 1000,00",
2005,"De 900,01 a 949,99",
2005,"De 900,01 a 964,99",
2005,"De 900,01 a 1.000,00",193887.58
2005,"De 950,00 a 1.000,00",
2005,"De 965,00 a 1.000,00",
2005,"De 1.000,01 a 1.100,00",180865
2005,"De 1.100,01 a 1.200,00",133600.67
2005,"De 1.200,01 a 1.300,00",114321.58
2005,"De 1.300,01 a 1.400,00",107774.17
2005,"De 1.400,01 a 1.500,00",90703.92
2005,"De 1.500,01 a 1.600,00",63517.92
2005,"De 1.600,01 a 1.700,00",48418.75
2005,"De 1.700,01 a 1.800,00",35107.33
2005,"De 1.800,01 a 1.900,00",28793.75
2005,"De 1.900,01 a 2.000,00",24332.33
2005,"De 2.000,01 a 2.100,00",20970.25
2005,"De 2.100,01 a 2.200,00",
2005,"De 2.200,01 a 2.300,00",
2005,"De 2.300,01 a 2.400,00",
2005,"De 2.400,01 a 2.548,10",
2005,"De 2.400,01 a 2.522,87",
2005,"De 2.400,01 a 2.497,89",
2005,"De 2.400,01 a 2.466,18",
2005,"De 2.400,01 a 2.441,73",
2005,"De 2.300,01 a 2.384,49",
2005,"De 2.200,01 a 2.290,57",
2005,"De 2.100,01 a 2.232,52",
2005,"De 2.400,01 a 2.554,47",
2005,"De 2.400,01 a 2.560,86",
2005,"De 2.100,01 a 2.159,10",11881.92
2005,"De 2.400,01 a 2.567,26",
2005,"De 2.400,01 a 2.500,00",
2005,"De 2.548,11 a 2.548,13",
2005,"De 2.522,88 a 2.522,90",
2005,"De 2.497,90 a 2.497,92",
2005,"De 2.466,19 a 2.466,21",
2005,"De 2.441,74 a 2.441,76",
2005,"De 2.384,50 a 2.384,52",
2005,"De 2.290,58 a 2.290,60",
2005,"De 2.232,53 a 2.232,55",
2005,"De 2.554,48 a 2.554,50",
2005,"De 2.560,87 a 2.560,89",
2005,"De 2.159,11 a 2.159,13",61615.83
2005,"De 2.567,27 a 2.567,29",
2005,"De 2.500,01 a 2.573,68",
2005,"De 2.500,01 a 2.580,11",
2005,"De 2.500,01 a 2.600,00",
2005,"Más de 2.548,13 euros",
2005,"Más de 2.522,90 euros",
2005,"Más de 2.497,92 euros",
2005,"Más de 2.466,21 euros",
2005,"Más de 2.441,76 euros",
2005,"Más de 2.384,52 euros",
2005,"Más de 2.290,60 euros",
2005,"Más de 2.232,55 euros",
2005,"Más de 2.554,50 euros",
2005,"Más de 2.560,89 euros",
2005,"Más de 2.159,13 euros",1137.42
2005,"Más de 2.567,29 euros",
2005,"De 2.573,69 a 2.573,71",
2005,"De 2.580,12 a 2.580,14",
2005,"De 2.600,01 a 2.614,94",
2005,"De 2.600,01 a 2.659,39",
2005,"De 2.600,01 a 2.683,32",
2005,"De 2.600,01 a 2.707,47",
2005,"Más de 2.573,71 euros",
2005,"Más de 2.580,14 euros",
2005,"De 2.614,95 a 2.614,97",
2005,"De 2.659,40 a 2.659,42",
2005,"De 2.683,33 a 2.683,35",
2005,"De 2.707,48 a 2.707,50",
2005,"Más de 2.614,97 euros",
2005,"Más de 2.659,42 euros",
2005,"Más de 2.683,35 euros",
2005,"Más de 2.707,50",
2006,Hasta 150 euros,85578.08
2006,"De 150,01 a 250,00",82406.75
2006,"De 250,01 a 300,00",139649.58
2006,"De 300,01 a 350,00",417079.67
2006,"De 350,01 a 400,00",87867.75
2006,"De 400,01 a 450,00",138337.92
2006,"De 450,01 a 500,00",1188003.5
2006,"De 500,01 a 550,00",
2006,"De 500,01 a 540,89",257534.42
2006,"De 540,90 a 600,00",471084.5
2006,"De 500,01 a 512,99",
2006,"De 513,00 a 600,00",
2006,"De 550,01 a 600,00",
2006,"De 550,01 a 570,59",
2006,"De 570,60 a 600,00",
2006,"De 600,01 a 700,00",256802.42
2006,"De 600,01 a 645,29",
2006,"De 600,01 a 641,39",
2006,"De 600,01 a 633,29",
2006,"De 600,01 a 623,99",
2006,"De 600,01 a 648,59",
2006,"De 600,01 a 655,19",
2006,"De 600,01 a 650,00",
2006,"De 645,30 a 700,00",
2006,"De 641,40 a 700,00",
2006,"De 633,30 a 700,00",
2006,"De 624,00 a 700,00",
2006,"De 648,60 a 700,00",
2006,"De 655,20 a 700,00",
2006,"De 650,01 a 707,69",
2006,"De 650,01 a 735,89",
2006,"De 650,01 a 700,00",
2006,"De 700,01 a 750,00",
2006,"De 700,01 a 800,00",217226.33
