Edad (grupos quinquenales);Españoles/Extranjeros;Sexo;Año;Total
0-4 años;TOTAL;Hombres;2020;1018039
0-4 años;TOTAL;Hombres;2019;1048153
0-4 años;TOTAL;Hombres;2018;1068953
0-4 años;TOTAL;Hombres;2017;1093761
0-4 años;TOTAL;Hombres;2016;1118620
0-4 años;TOTAL;Hombres;2015;1147833
0-4 años;TOTAL;Hombres;2014;1184674
0-4 años;TOTAL;Hombres;2013;1233651
0-4 años;TOTAL;Hombres;2012;1259518
0-4 años;TOTAL;Hombres;2011;1273539
0-4 años;TOTAL;Hombres;2010;1269480
0-4 años;TOTAL;Hombres;2009;1249291
0-4 años;TOTAL;Hombres;2008;1205808
0-4 años;TOTAL;Hombres;2007;1152780
0-4 años;TOTAL;Hombres;2006;1119920
0-4 años;TOTAL;Hombres;2005;1079294
0-4 años;TOTAL;Hombres;2004;1017055
0-4 años;TOTAL;Hombres;2003;979748
0-4 años;TOTAL;Hombres;2002;922356
0-4 años;TOTAL;Hombres;2001;882182
0-4 años;TOTAL;Hombres;2000;860607
0-4 años;TOTAL;Hombres;1999;865422
0-4 años;TOTAL;Hombres;1998;875176
0-4 años;TOTAL;Mujeres;2020;963653
0-4 años;TOTAL;Mujeres;2019;990510
0-4 años;TOTAL;Mujeres;2018;1010221
0-4 años;TOTAL;Mujeres;2017;1033129
0-4 años;TOTAL;Mujeres;2016;1055871
0-4 años;TOTAL;Mujeres;2015;1083014
0-4 años;TOTAL;Mujeres;2014;1117379
0-4 años;TOTAL;Mujeres;2013;1162081
0-4 años;TOTAL;Mujeres;2012;1184185
0-4 años;TOTAL;Mujeres;2011;1197021
0-4 años;TOTAL;Mujeres;2010;1194083
0-4 años;TOTAL;Mujeres;2009;1174754
0-4 años;TOTAL;Mujeres;2008;1133838
0-4 años;TOTAL;Mujeres;2007;1084747
0-4 años;TOTAL;Mujeres;2006;1055049
0-4 años;TOTAL;Mujeres;2005;1015288
0-4 años;TOTAL;Mujeres;2004;957373
0-4 años;TOTAL;Mujeres;2003;922111
0-4 años;TOTAL;Mujeres;2002;872007
0-4 años;TOTAL;Mujeres;2001;837490
0-4 años;TOTAL;Mujeres;2000;820381
0-4 años;TOTAL;Mujeres;1999;823514
0-4 años;TOTAL;Mujeres;1998;834836
05-9 años;TOTAL;Hombres;2020;1196380
05-9 años;TOTAL;Hombres;2019;1211970
05-9 años;TOTAL;Hombres;2018;1246569
05-9 años;TOTAL;Hombres;2017;1262578
05-9 años;TOTAL;Hombres;2016;1274793
05-9 años;TOTAL;Hombres;2015;1275954
05-9 años;TOTAL;Hombres;2014;1272247
05-9 años;TOTAL;Hombres;2013;1254573
05-9 años;TOTAL;Hombres;2012;1234191
05-9 años;TOTAL;Hombres;2011;1208743
05-9 años;TOTAL;Hombres;2010;1188369
05-9 años;TOTAL;Hombres;2009;1158022
05-9 años;TOTAL;Hombres;2008;1121725
05-9 años;TOTAL;Hombres;2007;1087410
05-9 años;TOTAL;Hombres;2006;1058479
05-9 años;TOTAL;Hombres;2005;1033173
05-9 años;TOTAL;Hombres;2004;1013590
05-9 años;TOTAL;Hombres;2003;1008889
05-9 años;TOTAL;Hombres;2002;1004071
05-9 años;TOTAL;Hombres;2001;1008889
05-9 años;TOTAL;Hombres;2000;1018827
