Sexo;Edad;Provincias;Periodo;Total
Ambos sexos;Total;Total Nacional;2002;41423520
Ambos sexos;Total;Total Nacional;2003;42196231
Ambos sexos;Total;Total Nacional;2004;42859172
Ambos sexos;Total;Total Nacional;2005;43662613
Ambos sexos;Total;Total Nacional;2006;44360521
Ambos sexos;Total;Total Nacional;2007;45236004
Ambos sexos;Total;Total Nacional;2008;45983169
Ambos sexos;Total;Total Nacional;2009;46367550
Ambos sexos;Total;Total Nacional;2010;46562483
Ambos sexos;Total;Total Nacional;2011;46736257
Ambos sexos;Total;Total Nacional;2012;46766403
Ambos sexos;Total;Total Nacional;2013;46593236
Ambos sexos;Total;Total Nacional;2014;46455123
Ambos sexos;Total;Total Nacional;2015;46410149
Ambos sexos;Total;Total Nacional;2016;46449874
Ambos sexos;Total;Total Nacional;2017;46532869
Ambos sexos;Total;Total Nacional;2018;46728814
Ambos sexos;Total;Total Nacional;2019;47105358
Ambos sexos;Total;Total Nacional;2020;47353706
