Sexo;Edad;Periodo;Total;total_red
Hombres;0-4 años;2070;213924,8;213925
Hombres;05-9 años;2070;215040,6;215041
Hombres;10-14 años;2070;219806;219806
Hombres;15-19 años;2070;236133,2;236133
Hombres;20-24 años;2070;264176,2;264176
Hombres;25-29 años;2070;289520,2;289520
Hombres;30-34 años;2070;298835,6;298836
Hombres;35-39 años;2070;296599,4;296599
Hombres;40-44 años;2070;294726,6;294727
Hombres;45-49 años;2070;298707;298707
Hombres;50-54 años;2070;315045,4;315045
Hombres;55-59 años;2070;330398,8;330399
Hombres;60-64 años;2070;333082,2;333082
Hombres;65-69 años;2070;294325;294325
Hombres;70-74 años;2070;251221,2;251221
Hombres;75-79 años;2070;225518;225518
Hombres;80-84 años;2070;191555,4;191555
Hombres;85-89 años;2070;154979,8;154980
Hombres;90-94 años;2070;101882,8;101883
Hombres;95-99 años;2070;38608;38608
Mujeres;0-4 años;2070;201287;201287
Mujeres;05-9 años;2070;202345;202345
Mujeres;10-14 años;2070;206755,4;206755
Mujeres;15-19 años;2070;221584;221584
Mujeres;20-24 años;2070;251221,6;251222
Mujeres;25-29 años;2070;281773,8;281774
Mujeres;30-34 años;2070;296677,6;296678
Mujeres;35-39 años;2070;300586,6;300587
Mujeres;40-44 años;2070;304111,6;304112
Mujeres;45-49 años;2070;312133,6;312134
Mujeres;50-54 años;2070;332705;332705
Mujeres;55-59 años;2070;351001,6;351002
Mujeres;60-64 años;2070;356111,8;356112
Mujeres;65-69 años;2070;321326,6;321327
Mujeres;70-74 años;2070;284166,8;284167
Mujeres;75-79 años;2070;264715;264715
Mujeres;80-84 años;2070;241101,4;241101
Mujeres;85-89 años;2070;218851,8;218852
Mujeres;90-94 años;2070;172700,6;172701
Mujeres;95-99 años;2070;89252;89252
Hombres;0-4 años;2050;208960;208960
Hombres;05-9 años;2050;218254,4;218254
Hombres;10-14 años;2050;215739,6;215740
Hombres;15-19 años;2050;214111,6;214112
Hombres;20-24 años;2050;226549;226549
Hombres;25-29 años;2050;251555,2;251555
Hombres;30-34 años;2050;288029,6;288030
Hombres;35-39 años;2050;319338,4;319338
Hombres;40-44 años;2050;335300,2;335300
Hombres;45-49 años;2050;308361;308361
Hombres;50-54 años;2050;280373,6;280374
Hombres;55-59 años;2050;277905,2;277905
Hombres;60-64 años;2050;279920,8;279921
Hombres;65-69 años;2050;307734;307734
Hombres;70-74 años;2050;337121,8;337122
Hombres;75-79 años;2050;294321;294321
Hombres;80-84 años;2050;226238,4;226238
Hombres;85-89 años;2050;146508,4;146508
Hombres;90-94 años;2050;69394,6;69395
Hombres;95-99 años;2050;21086,4;21086
Mujeres;0-4 años;2050;196619,8;196620
Mujeres;05-9 años;2050;205349,2;205349
Mujeres;10-14 años;2050;202918,6;202919
Mujeres;15-19 años;2050;200932,6;200933
Mujeres;20-24 años;2050;215659;215659
Mujeres;25-29 años;2050;245258,2;245258
Mujeres;30-34 años;2050;285669,2;285669
Mujeres;35-39 años;2050;319575,8;319576
Mujeres;40-44 años;2050;337855;337855
Mujeres;45-49 años;2050;315396,6;315397
Mujeres;50-54 años;2050;294169,2;294169
Mujeres;55-59 años;2050;295769,2;295769
Mujeres;60-64 años;2050;303685,4;303685
Mujeres;65-69 años;2050;337129,6;337130
Mujeres;70-74 años;2050;370604,8;370605
Mujeres;75-79 años;2050;337582,6;337583
Mujeres;80-84 años;2050;284794,8;284795
Mujeres;85-89 años;2050;212357,2;212357
Mujeres;90-94 años;2050;123830,8;123831
Mujeres;95-99 años;2050;50179,8;50180
Hombres;0-4 años;2036;186632,6;186633
Hombres;05-9 años;2036;185293,4;185293
Hombres;10-14 años;2036;192830,4;192830
Hombres;15-19 años;2036;221055,8;221056
Hombres;20-24 años;2036;266970,8;266971
Hombres;25-29 años;2036;303846,2;303846
Hombres;30-34 años;2036;293071,8;293072
Hombres;35-39 años;2036;274632,2;274632
Hombres;40-44 años;2036;274504,4;274504
Hombres;45-49 años;2036;284450,2;284450
Hombres;50-54 años;2036;318151,6;318152
Hombres;55-59 años;2036;376420;376420
Hombres;60-64 años;2036;371703,6;371704
Hombres;65-69 años;2036;334052,8;334053
Hombres;70-74 años;2036;289390;289390
Hombres;75-79 años;2036;229280,4;229280
Hombres;80-84 años;2036;156944,4;156944
Hombres;85-89 años;2036;98811,2;98811
Hombres;90-94 años;2036;44308,6;44309
Hombres;95-99 años;2036;12031,2;12031
Mujeres;0-4 años;2036;175640;175640
Mujeres;05-9 años;2036;174336;174336
Mujeres;10-14 años;2036;181262,2;181262
Mujeres;15-19 años;2036;207813,6;207814
Mujeres;20-24 años;2036;253140,8;253141
Mujeres;25-29 años;2036;291971,8;291972
Mujeres;30-34 años;2036;286256;286256
Mujeres;35-39 años;2036;273578,4;273578
Mujeres;40-44 años;2036;278585,2;278585
Mujeres;45-49 años;2036;294018,8;294019
Mujeres;50-54 años;2036;332056,2;332056
Mujeres;55-59 años;2036;388446,4;388446
Mujeres;60-64 años;2036;384414,4;384414
Mujeres;65-69 años;2036;357303,4;357303
Mujeres;70-74 años;2036;289390;289390
Mujeres;75-79 años;2036;276275;276275
Mujeres;80-84 años;2036;208909,6;208910
Mujeres;85-89 años;2036;153120,6;153121
Mujeres;90-94 años;2036;83771,4;83771
Mujeres;95-99 años;2036;30038;30038
